Community_Name,count
Not Specified,999
Asuokaw ,127
Mepom ,126
Asikasu ,88
Krodua ,85
Mepom,82
Asuotwene ,68
Abam,48
Kwasi Nyarko ,48
Abamkrom ,40
Atimatim ,39
Maame dede ,39
Owurakesim,38
Breman ,37
Asuokor ,37
Nyanoa ,36
Okurase,35
Zongo ,34
Okurase ,33
Kwesi yarko ,32
MEPOM ,32
Maame Dede,29
Essaso ,28
Roman quarters ,27
Atohkrom ,27
Krodua,26
Asuokaw,24
Breman,23
Junction ,23
Mame dede ,22
Braman ,22
Attorkrom ,21
Owurakesim ,21
Okusu,21
Essaso,20
Asoukaw,19
Aduana ,19
Yaanoa ,18
Kwesi Nyarko,18
Kofiman,17
Cocoa market ,17
Kantanyensua ,17
Kumi krom ,17
Water works ,16
Madina,16
Zongo,15
Nyarnoa,15
Asoutwene,15
Atorman ,15
Adu Kofi ,14
Sukrong Bethlehem ,14
Adu kofi ,14
Kofi dogbe ,14
Mame Dede ,13
Korodua ,13
Asuotwene,13
Kumikrom,13
Atimatim,13
Odumkyere Darman ,12
Yaanoa,12
Madina ,12
Kumikrom ,12
Kwesi Nyarko ,11
Roman quarters,11
Odumkyere Damang ,11
Adukofi ,11
Nyanoa,11
Bremang ,11
Kwasi nyarko ,11
Junction,10
Atohkrom,10
Obeng Yaw,10
Okusu ,10
Odumkyere darmang ,10
Kofi kyere ,9
Adeiso,9
Kofi Dobge ,9
Kofi Dogbey,9
Adu Kofi,9
Katanyensua,8
Amarhkrom ,8
Meet me there ,8
New nation ,8
Mame Dede,8
Atoman ,7
Asuokor,7
DCE area,7
Braman,7
Nyarnoa ,7
Atim Atim ,7
Kofi Man ,7
Brekusu ,7
Odumkyere Darmang,7
Abam ,7
Esansu,6
Sukrong Canaan ,6
Esansu ,6
Muzama ,5
Asikasu,5
Muzama,5
Obeng Yaw ,5
Salem,5
Owurakese ,5
Water Works ,5
Amahkrom ,5
Katanyensua ,5
Kofi kyere,5
Job creation and more infrastructure ,4
Asuokoo,4
Adeiso ,4
Maame Dede ,4
Kofi Dogbe ,4
Owurakese,4
madina,4
Atimetim,4
Brekusu lane,4
asuokaw,4
Ayigbe town ,4
Kumi krom,4
Roman ridge,4
Atoman,4
Korodua,3
Tommy,3
Teacher Ayeh,3
Ahenbrom ,3
Atimetim ,3
Welis P,3
Atorman,3
Kwasi Nyarko,3
Odumkyere Darmang ,3
Amarhman,3
Sukrong Canaan,3
Odumkyeredarman,3
Methodist church ,3
Odum Kyere Daman ,3
Ahenbrom,3
Sukrong Bethlehem,2
Amahkrom,2
KOFI KROM ,2
Name Dede ,2
Police station ,2
Name Dede,2
Dce Area ,2
As,2
roman quarters,2
Hospital road ,2
Abamkrom,2
Krowdua ,2
MEPOM,2
Amarhkrom,2
Owurakesem ,2
Kofikyere ,2
KOFI MAN ,2
Odumkyere Darman,2
Kofi Kyere ,2
Ayigbe town,2
Atim Atim,2
KOFI Man ,2
KOFI man ,2
Kantanyensua,2
Teacher Aryerh ,2
Atimtim,2
Teacher aye,2
Asuokow,1
Job creation and electricity extension ,1
Z,1
Presby jhs ,1
Kwas Nyarko ,1
Sukrong canaan,1
Sukurong Canaan ,1
Katayensua,1
Canaan ,1
Sukurong Bethlehem ,1
Kwesi yarko,1
Nyarko Nyarko,1
Kwa Nyarko ,1
Atokrom,1
Kofi krom,1
Kofikyiri,1
Kofi kyer3 ,1
Attokrom,1
Kofi ,1
Dce Area,1
Dce area ,1
Kofi Dobge,1
Kpfi Dogbe,1
Kofi  Dogbe,1
Kofi Dogbe,1
Maame dede,1
Make Dede,1
Mame ,1
Mane Dede,1
Mame dede,1
Kwasi ,1
Kofi dobe ,1
Katayensuo ,1
Sukrong Kanaan ,1
Sukrong Betlehem,1
Katayensua ,1
Owurakesi,1
Hospital road,1
Wilis P,1
Job ,1
Okuso ,1
Mep,1
Welis P ,1
Okuso,1
A,1
Odom Kyere Daman,1
Odumkyere darman ,1
Teacher Aryeh,1
Atim atim,1
Adukofi,1
Adu  Kofi,1
Odumkyere darmang,1
Teacher Ayeh ,1
Network fixation and more infrastructure ,1
Adu kofi,1
Kumikron,1
Abam krom ,1
Aban krom ,1
Aba,1
Kumi Krom ,1
Kumi ,1
Roman quarter's ,1
Water works,1
Bremen ,1
Abamkron ,1
Mad,1
Mepon,1
Depot ,1
Asuo,1
Kraboa,1
Kr,1
Kradua,1
Krowdua,1
Wilis p,1
Bremang,1
Gyidi kokoo,1
Odumkyeredarmang,1
Odmyere darman ,1
Odimkyere Darman ,1
Owurakesem,1
Owura kesim,1
Teacher,1
Odumkyere Damang,1
Cocoa ,1
Odom Kyere Daman ,1
Kofi Man,1
Brekusu lane ,1
f Man,1
Cocoa market,1
Salem ,1
Armah krom ,1
Ayibge Town,1
Amarh krom ,1
Orakese ,1
Esukyerema,1
Brekusu,1
Obeng yaw ,1
O,1
No idea,1
Provide the needful for the community ,1
Essaso u,1
Okutase,1
KOFI MAN,1
Employment ,1
KOFI Man,1
Kofikyere,1
Odinkyeredarman ,1
Odunkyeredarman,1
Odunkyeredaman ,1
